Use Case,Business Impact,Feasibility,Compliance Risk,User Readiness,Score
Customer Support Chatbot,5,4,3,5,4.300000000000001
Automated Loan Summaries,4,4,2,4,4.0
Email Response Generator,3,5,3,5,3.8
Fraud Alert Explanation,5,3,2,3,4.0
Internal Knowledge Assistant,3,4,1,4,3.8
Code Doc Generator,2,5,1,5,3.8
Call Center Summary Tool,4,4,2,3,3.9
Contract Clause Extractor,3,3,4,2,2.7
AI Sales Coach,4,3,2,4,3.7
Meeting Notes Summarizer,3,5,1,5,4.2
HR Chatbot,4,4,1,5,4.3
Credit Scoring Analysis,5,4,4,3,3.9
Fraud analysis connecting the scoring tool,4,2,2,2,3.2
Finanacial modeling and forecasting,5,4,2,5,4.5
